Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2713241,-,-,-,-20.15,57.66,4,138,4,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo,Clearsky DHI,Clearsky DNI,Clearsky GHI
2019,1,1,0,0,0,0,0,25.5,27.1,999,90.92,299,7.7,0.18,0,0,0
2019,1,1,0,15,0,0,0,25.5,27.1,999,90.92,299,7.7,0.18,0,0,0
2019,1,1,0,30,0,0,0,25.5,27.1,999,90.92,299,7.7,0.18,0,0,0
2019,1,1,0,45,0,0,0,25.5,27.1,999,90.99,299,7.7,0.18,0,0,0
2019,1,1,1,0,0,0,0,25.5,27.1,999,90.99,299,7.7,0.18,0,0,0
2019,1,1,1,15,0,0,0,25.5,27.1,999,90.99,299,7.800000000000001,0.18,0,0,0
2019,1,1,1,30,0,0,0,25.5,27.200000000000003,999,90.46000000000001,298,7.800000000000001,0.18,0,0,0
2019,1,1,1,45,0,0,0,25.5,27.200000000000003,999,90.7,298,7.800000000000001,0.18,0,0,0
2019,1,1,2,0,0,0,0,25.5,27.200000000000003,999,90.7,298,7.800000000000001,0.18,0,0,0
2019,1,1,2,15,0,0,0,25.5,27.200000000000003,999,90.7,297,7.7,0.18,0,0,0
2019,1,1,2,30,0,0,0,25.5,27.200000000000003,999,90.7,297,7.7,0.18,0,0,0
2019,1,1,2,45,0,0,0,25.6,27.200000000000003,999,90.87,296,7.6000000000000005,0.18,0,0,0
2019,1,1,3,0,0,0,0,25.6,27.200000000000003,999,90.87,295,7.6000000000000005,0.18,0,0,0
2019,1,1,3,15,0,0,0,25.6,27.200000000000003,999,90.87,295,7.6000000000000005,0.18,0,0,0
2019,1,1,3,30,0,0,0,25.6,27.200000000000003,999,90.87,295,7.6000000000000005,0.18,0,0,0
2019,1,1,3,45,0,0,0,25.6,27.200000000000003,999,90.87,295,7.6000000000000005,0.18,0,0,0
2019,1,1,4,0,0,0,0,24.8,27,1011,87.98,112,5.300000000000001,0.16,0,0,0
2019,1,1,4,15,0,0,0,24.8,27,1011,87.98,110,5.300000000000001,0.16,0,0,0
2019,1,1,4,30,0,0,0,24.8,27,1011,87.98,108,5.300000000000001,0.16,0,0,0
2019,1,1,4,45,0,0,0,24.8,27,1011,87.91,107,5.4,0.16,0,0,0
2019,1,1,5,0,0,0,0,24.8,27,1011,87.91,105,5.4,0.16,0,0,0
2019,1,1,5,15,0,0,0,24.8,27,1012,87.99,104,5.5,0.16,0,0,0
2019,1,1,5,30,0,0,0,24.8,27.1,1012,87.48,103,5.6000000000000005,0.16,0,0,0
2019,1,1,5,45,15,120,20,24.8,27.1,1012,87.15,101,5.7,0.16,15,120,20
2019,1,1,6,0,29,283,55,24.8,27.1,1012,87.15,100,5.7,0.16,29,283,55
2019,1,1,6,15,41,413,101,24.8,27.200000000000003,1012,86.64,99,5.800000000000001,0.16,41,413,101
2019,1,1,6,30,50,513,153,24.8,27.200000000000003,1012,86.64,98,5.800000000000001,0.16,50,513,153
2019,1,1,6,45,58,592,210,24.700000000000003,27.3,1012,85.5,97,5.800000000000001,0.16,58,592,210
